,ticker,green_days_percentile,red_days_percentile,from_pm_high_to_open,gap_percentile,pm_dollar_volume_percentile,pred,returns,date,cumulative_returns,win,Running_Max,Drawdown
5799,AVGO,0.2631578947368421,0.9736842105263158,-0.0013895396745892193,0.1578947368421052,0.0526315789473684,0.86625886,1.004324569209611,2023-04-10,0.0043245692096109956,1,0.0043245692096109956,0.0
5401,NFLX,0.1842105263157894,1.0,-0.011586084905660397,0.1052631578947368,0.0526315789473684,0.8354723,0.9980016106421692,2023-04-10,0.002317537678694581,0,0.0043245692096109956,-0.8660189430218592
5800,AVGO,0.675,0.225,-6.340953045254955e-05,0.8,0.8,0.85981905,0.99,2023-04-11,-0.007705637698092405,0,0.0043245692096109956,1.5612214561659938
8188,CRM,0.175,0.95,-0.015722615576843034,0.05,0.5,0.8943344,0.9994710673860151,2023-04-11,-0.008230494548987277,0,0.0043245692096109956,1.5254324857238515
8587,PEP,0.2,0.95,-0.006849687415058391,0.3,0.25,0.8100227,1.0013684383381685,2023-04-12,-0.0068733191351016965,1,0.0043245692096109956,1.6291820770442096
7394,DIS,0.2,0.975,-0.0009127789046652049,0.65,0.55,0.9096235,1.01,2023-04-13,0.003057947673547279,1,0.0043245692096109956,-0.4142064126932594
6200,ATVI,0.175,0.975,-0.00011712344811420596,0.9,0.15,0.81759864,1.000819960173363,2023-04-13,0.0038804152422147187,1,0.0043245692096109956,-0.11446042231881845
3017,UNH,1.0,0.35,-0.027951062363829333,0.0,0.95,0.8595882,0.99,2023-04-14,-0.00615838891020748,0,0.0043245692096109956,1.7022241161877674
5408,NFLX,0.65,0.225,-0.04747774480712173,0.0,1.0,0.88429415,0.99,2023-04-19,-0.016096805021105443,0,0.0043245692096109956,1.2686600976989413
8595,PEP,0.7894736842105263,0.3157894736842105,-0.0007501071581653792,0.8421052631578947,0.8421052631578947,0.83970153,0.9969436997319036,2023-04-24,-0.01910390861970035,0,0.0043245692096109956,1.2263709116128942
7004,BAC,0.225,1.0,-0.004394861392832962,0.1,0.25,0.831219,0.99,2023-04-25,-0.02891286953350336,0,0.0043245692096109956,1.1495724664962714
4219,TSM,0.25,0.975,-0.005442012335227994,0.5,0.45,0.8380409,0.99,2023-04-26,-0.03862374083816833,0,0.0043245692096109956,1.1119666069563467
8996,COST,0.175,0.95,-0.0031627719580982943,0.5,0.6,0.89553684,1.01,2023-04-27,-0.02900997824655005,1,0.0043245692096109956,1.1490717839516231
3426,XPEV,0.2894736842105263,0.5526315789473685,-0.03593429158110879,0.4210526315789473,0.0,0.8090029,0.99,2023-05-01,-0.038719878464084534,0,0.0043245692096109956,1.1116886049531984
6214,ATVI,0.25,0.95,-0.009415457041977231,0.15,0.7,0.88300693,1.0021689768976898,2023-05-03,-0.03663488408826465,1,0.0043245692096109956,1.1180451178497464
6624,ADBE,0.9523809523809524,0.1904761904761904,-0.0010732271113679142,0.8095238095238095,0.8571428571428571,0.83355486,1.01,2023-05-19,-0.027001232929147245,1,0.0043245692096109956,1.1601619163450392
8619,PEP,0.238095238095238,0.9761904761904762,-0.0015760869565216958,0.4761904761904761,0.3333333333333333,0.8679407,1.0015241413096727,2023-05-26,-0.025518245313993937,1,0.0043245692096109956,1.1694696934055826
4243,TSM,0.275,0.575,-0.02206314963718376,0.0,0.9,0.80449533,0.99,2023-05-31,-0.03526306286085401,0,0.0043245692096109956,1.1226373677940424
5041,TMUS,0.825,0.25,-0.07194244604316546,0.0,0.95,0.8171179,0.99,2023-06-02,-0.044910432232245445,0,0.0043245692096109956,1.0962931994786276
5840,AVGO,0.175,0.975,-0.003997528342097579,0.4,0.6,0.8757525,1.01,2023-06-07,-0.035359536554567916,1,0.0043245692096109956,1.1223027683899982
3454,XPEV,0.625,0.25,-0.019553072625698206,0.95,0.95,0.8014921,1.01,2023-06-09,-0.025713131920113597,1,0.0043245692096109956,1.16818523791838
6240,ATVI,0.125,0.975,-0.003364485981308362,0.25,0.55,0.9357687,1.0045011252813203,2023-06-09,-0.021327744666940873,1,0.0043245692096109956,1.2027673003941344
6641,ADBE,0.85,0.35,-0.015262755154799074,0.15,0.75,0.8170886,1.01,2023-06-14,-0.0115410221136103,1,0.0043245692096109956,1.3747128431987876
9029,COST,0.825,0.225,0.0,1.0,0.75,0.8073002,1.0004285714285714,2023-06-14,-0.011117396837373228,1,0.0043245692096109956,1.3889911705834894
5848,AVGO,0.2105263157894736,0.9736842105263158,-0.0032813402657423823,0.1578947368421052,0.2105263157894736,0.9269938,1.01,2023-06-20,-0.001228570805746898,1,0.0043245692096109956,4.519999978334106
5849,AVGO,0.2368421052631578,1.0,-0.004629629629629629,0.0526315789473684,0.3157894736842105,0.81877697,0.9958720930232559,2023-06-21,-0.005351406356490562,0,0.0043245692096109956,1.8081182630367536
4258,TSM,0.2631578947368421,0.9736842105263158,-0.0012801575578532294,0.4736842105263157,0.0526315789473684,0.88858074,1.01,2023-06-22,0.004595079579944539,1,0.004595079579944539,0.0
7442,DIS,0.2105263157894736,0.9736842105263158,-0.0041661975002815505,0.2105263157894736,0.4210526315789473,0.8756592,1.0063319764812302,2023-06-22,0.010956151997004282,1,0.010956151997004282,0.0
8636,PEP,0.6842105263157895,0.2105263157894736,0.00021425893191918176,1.0,0.5263157894736842,0.8682211,0.9974829968403578,2023-06-22,0.008411572168168124,0,0.010956151997004282,-0.302509421302429
7845,JNJ,0.225,1.0,-0.007081807081807234,0.15,0.5,0.8002281,1.005318494835219,2023-06-29,0.013774803906519528,1,0.013774803906519528,0.0
6254,ATVI,0.2,0.95,-0.010662334907979777,0.9,0.8,0.8081372,1.01,2023-06-30,0.023912551945584726,1,0.023912551945584726,0.0
3468,XPEV,0.8,0.35,-0.019999999999999983,0.95,1.0,0.874171,0.99,2023-06-30,0.013673426426128898,0,0.023912551945584726,-0.7488339206542716
3469,XPEV,0.8947368421052632,0.3421052631578947,-0.041333333333333284,0.8947368421052632,1.0,0.8350005,0.99,2023-07-03,0.003536692161867583,0,0.023912551945584726,-5.761276031713623
4666,TXN,0.2368421052631578,0.9736842105263158,-0.007354618015963466,0.4210526315789473,0.3684210526315789,0.85185784,1.003647119637011,2023-07-07,0.007196710538312168,1,0.023912551945584726,-2.3227058137581973
5463,NFLX,0.1666666666666666,0.9722222222222222,-0.001525535645164999,0.5555555555555556,0.0555555555555555,0.83404493,1.01,2023-07-10,0.01726867764369522,1,0.023912551945584726,-0.38473555642027873
7851,JNJ,0.3055555555555556,0.9722222222222222,-0.0008773578993544298,0.7222222222222222,0.3333333333333333,0.8595012,1.0014112776767232,2023-07-10,0.018704326219683542,1,0.023912551945584726,-0.27845032559474364
4271,TSM,0.7631578947368421,0.1842105263157894,0.0,0.8947368421052632,0.631578947368421,0.81129336,1.01,2023-07-12,0.028891369481880425,1,0.028891369481880425,0.0
3080,UNH,0.6666666666666666,0.2222222222222222,0.001082003370856736,0.7777777777777778,0.7222222222222222,0.8844506,1.0015588950551848,2023-07-17,0.030495303150088082,1,0.030495303150088082,0.0
7862,JNJ,1.0,0.175,-0.0005863383172091628,0.15,0.75,0.8893482,1.0063437958345556,2023-07-25,0.03703255496174074,1,0.03703255496174074,0.0
8260,CRM,0.25,0.975,-0.003458864221931987,0.65,0.55,0.8334941,0.9986497255179742,2023-07-25,0.03563227636574573,0,0.03703255496174074,-0.039298039272650395
5476,NFLX,0.2,0.95,-0.0012867001988536937,0.9,0.7,0.8900833,0.99,2023-07-27,0.02527595360208834,0,0.03703255496174074,-0.46512988371212416
3488,XPEV,0.7631578947368421,0.3421052631578947,-0.10991379310344832,0.0,1.0,0.81498086,0.99,2023-07-31,0.015023194066067447,0,0.03703255496174074,-1.4650253999837055
9062,COST,0.1,0.975,-0.0016992046276212121,0.05,0.4,0.8536185,1.0000633759461124,2023-08-02,0.015087522121317365,1,0.03703255496174074,-1.4545153713091785
8664,PEP,0.175,0.95,-0.0002678954136304273,0.35,0.1,0.8571896,1.0057612948175143,2023-08-02,0.02093574060183845,1,0.03703255496174074,-0.7688676825929323
7073,BAC,0.1666666666666666,0.9523809523809524,-0.006103437198843487,0.0952380952380952,0.0952380952380952,0.8331626,1.0025856496444732,2023-08-03,0.0235755227365555,1,0.03703255496174074,-0.5708052532094726
