Parameters,Filter,Sum_first_hour_move,Sum_open_to_close_move,Sum_power_hour_move,Number of Rows
"('open_from_BB_up_percentile', 'x_day_high_at_open_percentile', '1month_change_from_high_percentile')","open_from_BB_up_percentile: 0.3 - 0.7, x_day_high_at_open_percentile: < 0.3, 1month_change_from_high_percentile: > 0.7",1.4606811073622001,3.5624412091834,0.4047075054824,302
"('consecutive_days_above_20sma_percentile', 'x_day_high_at_open_percentile', '1month_change_from_high_percentile')","consecutive_days_above_20sma_percentile: > 0.7, x_day_high_at_open_percentile: < 0.3, 1month_change_from_high_percentile: > 0.7",1.1473214071135,3.1288686859132,0.1785806884433,370
"('x_day_high_at_open_percentile', '1month_change_from_high_percentile', 'red_days_percentile')","x_day_high_at_open_percentile: < 0.3, 1month_change_from_high_percentile: > 0.7, red_days_percentile: < 0.3",1.3581210148709,3.1147279795031997,0.048228309252100005,316
"('gap_percentile', 'x_day_high_at_open_percentile', '1month_change_from_high_percentile')","gap_percentile: 0.3 - 0.7, x_day_high_at_open_percentile: < 0.3, 1month_change_from_high_percentile: > 0.7",0.6526817864080001,2.8651852204819,0.2813029827561,294
"('consecutive_days_above_20sma_percentile', 'open_from_BB_up_percentile', '1month_change_from_high_percentile')","consecutive_days_above_20sma_percentile: > 0.7, open_from_BB_up_percentile: 0.3 - 0.7, 1month_change_from_high_percentile: > 0.7",1.0430877550188,2.5419099476299,0.3417065311379,237
"('x_day_high_at_open_percentile', '1month_change_from_high_percentile', 'green_days_percentile')","x_day_high_at_open_percentile: < 0.3, 1month_change_from_high_percentile: > 0.7, green_days_percentile: < 0.3",0.7011902566682,2.520008286915,0.316175705413,252
"('consecutive_days_above_20sma_percentile', '1month_change_from_high_percentile', 'red_days_percentile')","consecutive_days_above_20sma_percentile: > 0.7, 1month_change_from_high_percentile: > 0.7, red_days_percentile: < 0.3",1.0524786357903,2.4765141088536002,0.12189622521750001,307
"('pm_dollar_volume_percentile', 'x_day_high_at_open_percentile', '1month_change_from_high_percentile')","pm_dollar_volume_percentile: 0.3 - 0.7, x_day_high_at_open_percentile: < 0.3, 1month_change_from_high_percentile: > 0.7",0.8101228753342,2.2640872876813,0.1648520755154,227
"('open_from_BB_up_percentile', '1month_change_from_high_percentile', 'red_days_percentile')","open_from_BB_up_percentile: 0.3 - 0.7, 1month_change_from_high_percentile: > 0.7, red_days_percentile: < 0.3",1.0912075190873,2.2311338554906,0.21410261369359998,190
"('gap_percentile', 'consecutive_days_above_20sma_percentile', '1month_change_from_high_percentile')","gap_percentile: 0.3 - 0.7, consecutive_days_above_20sma_percentile: > 0.7, 1month_change_from_high_percentile: > 0.7",0.5097782051848,2.1910842564351,0.27201120571549997,227
"('open_from_BB_up_percentile', '1month_change_from_high_percentile', 'green_days_percentile')","open_from_BB_up_percentile: 0.3 - 0.7, 1month_change_from_high_percentile: > 0.7, green_days_percentile: < 0.3",0.7525534843484001,2.1430503597438,0.33042094333579997,181
"('1month_change_from_high_percentile', 'red_days_percentile', 'green_days_percentile')","1month_change_from_high_percentile: > 0.7, red_days_percentile: < 0.3, green_days_percentile: 0.3 - 0.7",0.7071003904516,2.0731361606677,0.163276614496,195
