Parameters,Filter,Sum_first_hour_move,Sum_open_to_close_move,Sum_power_hour_move,Number of Rows
"('consecutive_days_above_20sma_percentile', 'x_day_high_at_open_percentile', '1month_change_from_high_percentile')","consecutive_days_above_20sma_percentile: > 0.7, x_day_high_at_open_percentile: 0.3 - 0.7, 1month_change_from_high_percentile: > 0.7",4.874934214479321,11.687015817166316,1.2277356451530719,1530
"('gap_percentile', 'x_day_high_at_open_percentile', '1month_change_from_high_percentile')","gap_percentile: 0.3 - 0.7, x_day_high_at_open_percentile: 0.3 - 0.7, 1month_change_from_high_percentile: > 0.7",4.319968648127556,10.263233054947982,0.8996190146953881,1156
"('open_from_BB_up_percentile', 'x_day_high_at_open_percentile', '1month_change_from_high_percentile')","open_from_BB_up_percentile: 0.3 - 0.7, x_day_high_at_open_percentile: 0.3 - 0.7, 1month_change_from_high_percentile: > 0.7",3.7346770097640443,9.312834327904847,0.7826692293292203,561
"('x_day_high_at_open_percentile', '1month_change_from_high_percentile', 'red_days_percentile')","x_day_high_at_open_percentile: 0.3 - 0.7, 1month_change_from_high_percentile: > 0.7, red_days_percentile: < 0.3",3.4626133464891082,8.673302326062476,0.963105202645701,1107
"('open_from_BB_up_percentile', 'x_day_high_at_open_percentile', '1month_change_from_high_percentile')","open_from_BB_up_percentile: < 0.3, x_day_high_at_open_percentile: 0.3 - 0.7, 1month_change_from_high_percentile: > 0.7",3.4194437297560243,7.768565491688681,0.9876577954626748,1602
"('gap_percentile', 'consecutive_days_above_20sma_percentile', '1month_change_from_high_percentile')","gap_percentile: 0.3 - 0.7, consecutive_days_above_20sma_percentile: > 0.7, 1month_change_from_high_percentile: > 0.7",2.833275939034729,7.67590425579607,0.8401277318213803,958
"('x_day_high_at_open_percentile', '1month_change_from_high_percentile', 'green_days_percentile')","x_day_high_at_open_percentile: 0.3 - 0.7, 1month_change_from_high_percentile: > 0.7, green_days_percentile: > 0.7",2.85278548372448,7.092719922370792,0.9496941402324024,949
"('pm_dollar_volume_percentile', 'x_day_high_at_open_percentile', '1month_change_from_high_percentile')","pm_dollar_volume_percentile: 0.3 - 0.7, x_day_high_at_open_percentile: 0.3 - 0.7, 1month_change_from_high_percentile: > 0.7",3.192148590633951,6.987501863531191,0.679274569732081,870
"('1month_change_from_high_percentile', 'red_days_percentile', 'green_days_percentile')","1month_change_from_high_percentile: > 0.7, red_days_percentile: < 0.3, green_days_percentile: > 0.7",2.7969155241315953,6.844459352971126,1.100504893428456,1143
"('x_day_high_at_open_percentile', '1month_change_from_high_percentile', 'green_days_percentile')","x_day_high_at_open_percentile: 0.3 - 0.7, 1month_change_from_high_percentile: > 0.7, green_days_percentile: < 0.3",2.8862400658691003,6.711767147090084,0.705676150852103,723
"('consecutive_days_above_20sma_percentile', 'open_from_BB_up_percentile', '1month_change_from_high_percentile')","consecutive_days_above_20sma_percentile: > 0.7, open_from_BB_up_percentile: 0.3 - 0.7, 1month_change_from_high_percentile: > 0.7",2.6634528187479822,6.558942310570568,0.7884919970798664,458
"('pm_dollar_volume_percentile', 'x_day_high_at_open_percentile', '1month_change_from_high_percentile')","pm_dollar_volume_percentile: > 0.7, x_day_high_at_open_percentile: 0.3 - 0.7, 1month_change_from_high_percentile: > 0.7",2.6677513044615946,6.481449356589642,0.5261208478940865,533
"('open_from_BB_up_percentile', 'x_day_high_at_open_percentile', '1month_change_from_high_percentile')","open_from_BB_up_percentile: > 0.7, x_day_high_at_open_percentile: 0.3 - 0.7, 1month_change_from_high_percentile: 0.3 - 0.7",3.0797943756011543,6.306084905224065,0.7880452946876946,428
"('consecutive_days_above_20sma_percentile', 'x_day_high_at_open_percentile', '1month_change_from_high_percentile')","consecutive_days_above_20sma_percentile: 0.3 - 0.7, x_day_high_at_open_percentile: 0.3 - 0.7, 1month_change_from_high_percentile: > 0.7",2.4039004773848616,6.177870789535417,0.7140601654437142,634
"('pm_dollar_volume_percentile', 'x_day_high_at_open_percentile', '1month_change_from_high_percentile')","pm_dollar_volume_percentile: < 0.3, x_day_high_at_open_percentile: 0.3 - 0.7, 1month_change_from_high_percentile: > 0.7",2.088647732648578,6.018908200386197,0.8877895670099819,857
"('open_from_BB_up_percentile', '1month_change_from_high_percentile', 'red_days_percentile')","open_from_BB_up_percentile: < 0.3, 1month_change_from_high_percentile: > 0.7, red_days_percentile: < 0.3",2.2471793845179704,5.90972512558144,1.0280705432582908,1319
"('consecutive_days_above_20sma_percentile', '1month_change_from_high_percentile', 'red_days_percentile')","consecutive_days_above_20sma_percentile: > 0.7, 1month_change_from_high_percentile: > 0.7, red_days_percentile: < 0.3",2.041194536949226,5.830520183377033,0.7269713851281983,1094
"('consecutive_days_above_20sma_percentile', 'open_from_BB_up_percentile', '1month_change_from_high_percentile')","consecutive_days_above_20sma_percentile: > 0.7, open_from_BB_up_percentile: < 0.3, 1month_change_from_high_percentile: > 0.7",2.2761742455854312,5.810137358469573,0.7871840008576654,1547
"('gap_percentile', 'x_day_high_at_open_percentile', '1month_change_from_high_percentile')","gap_percentile: < 0.3, x_day_high_at_open_percentile: 0.3 - 0.7, 1month_change_from_high_percentile: > 0.7",2.440661827945985,5.759300141204118,0.5479300475490432,635
"('gap_percentile', '1month_change_from_high_percentile', 'red_days_percentile')","gap_percentile: 0.3 - 0.7, 1month_change_from_high_percentile: > 0.7, red_days_percentile: < 0.3",2.0040276278554057,5.738244503895818,0.5872664522584659,714
