Parameters,Filter,Sum_first_hour_move,Sum_open_to_close_move,Sum_power_hour_move,Number of Rows
"('consecutive_days_above_20sma_percentile', 'open_from_BB_up_percentile', '1month_change_from_high_percentile')","consecutive_days_above_20sma_percentile: > 0.7, open_from_BB_up_percentile: < 0.3, 1month_change_from_high_percentile: > 0.7",0.7269302318177,1.3324340460227,0.05939737515850001,327
"('open_from_BB_up_percentile', 'x_day_high_at_open_percentile', '1month_change_from_high_percentile')","open_from_BB_up_percentile: < 0.3, x_day_high_at_open_percentile: < 0.3, 1month_change_from_high_percentile: > 0.7",0.16851237829629995,1.1106990782294,0.043216064668400014,305
"('gap_percentile', 'x_day_high_at_open_percentile', 'green_days_percentile')","gap_percentile: 0.3 - 0.7, x_day_high_at_open_percentile: < 0.3, green_days_percentile: < 0.3",0.1395684748062,1.0385297144512,0.1196052183287,325
"('consecutive_days_above_20sma_percentile', 'x_day_high_at_open_percentile', '1month_change_from_high_percentile')","consecutive_days_above_20sma_percentile: > 0.7, x_day_high_at_open_percentile: < 0.3, 1month_change_from_high_percentile: > 0.7",0.2090641666552,1.0162284837906999,0.027344177747399993,307
"('consecutive_days_above_20sma_percentile', 'open_from_BB_up_percentile', 'x_day_high_at_open_percentile')","consecutive_days_above_20sma_percentile: > 0.7, open_from_BB_up_percentile: < 0.3, x_day_high_at_open_percentile: < 0.3",0.2788616867421,0.9966161892054999,0.0389588960164,289
"('gap_percentile', 'consecutive_days_above_20sma_percentile', 'open_from_BB_up_percentile')","gap_percentile: > 0.7, consecutive_days_above_20sma_percentile: > 0.7, open_from_BB_up_percentile: < 0.3",0.5454237577319,0.8993722695502,-0.0036570779718999927,140
"('consecutive_days_above_20sma_percentile', 'x_day_high_at_open_percentile', 'green_days_percentile')","consecutive_days_above_20sma_percentile: > 0.7, x_day_high_at_open_percentile: < 0.3, green_days_percentile: < 0.3",0.049296855419299984,0.8689196212451,0.09270081824819999,256
"('gap_percentile', 'open_from_BB_up_percentile', '1month_change_from_high_percentile')","gap_percentile: > 0.7, open_from_BB_up_percentile: < 0.3, 1month_change_from_high_percentile: > 0.7",0.482487593509,0.8037052872473001,0.01004454714659999,165
"('gap_percentile', 'consecutive_days_above_20sma_percentile', '1month_change_from_high_percentile')","gap_percentile: > 0.7, consecutive_days_above_20sma_percentile: > 0.7, 1month_change_from_high_percentile: > 0.7",0.47459226656000003,0.792456752017,-0.043094210215199984,129
"('x_day_high_at_open_percentile', '1month_change_from_high_percentile', 'green_days_percentile')","x_day_high_at_open_percentile: < 0.3, 1month_change_from_high_percentile: > 0.7, green_days_percentile: < 0.3",-0.03061754788200001,0.7773298339465,0.14631168752,160
